amount,oldbalanceOrg,newbalanceOrig,transactionType,isFraud
377.6674182531257,1968.1776013872104,1868.2040923334926,PAYMENT,0
950.9607348778666,2367.178296875107,1664.5604811570163,CASH_OUT,0
733.3339721023481,4272.736966010902,880.7695625143002,CASH_OUT,0
600.6651917760514,1700.0219302994608,3036.3333505074397,PAYMENT,0
160.23854724022434,4348.248424060856,2383.1208025431442,TRANSFER,0
160.21454773452163,440.67215488345744,4328.504961620019,TRANSFER,0
62.79319410735847,3883.9921860431537,160.54790241029127,PAYMENT,0
866.8452650460605,4237.738165273682,3219.3396377756317,TRANSFER,0
603.1094366844927,909.0882641866938,3814.7443925578054,TRANSFER,0
709.5322149070653,2151.7326618610023,3797.432845941535,TRANSFER,0
25.481571824323435,827.4988733182781,4430.369835477625,PAYMENT,0
970.0603029011844,3533.0206449710886,3645.1687141474704,CASH_OUT,0
833.2804275964196,2676.7388403082837,4639.050308238481,CASH_OUT,0
216.27741512488478,3176.6167335416053,1663.2829991044573,CASH_OUT,0
185.9158423710651,982.4348347810558,2516.0470837577154,CASH_OUT,0
187.48748730416665,1058.7293102620977,70.39831641445338,CASH_OUT,0
307.72103174474006,207.48662754953185,34.787936516456064,TRANSFER,0
527.1326494740766,1610.3376759786486,1200.6331022575994,TRANSFER,0
434.7852935489052,2798.723306668375,504.0359856954263,TRANSFER,0
294.7729944970517,4289.674569986644,1301.056839678768,PAYMENT,0
613.7936302487676,3334.6372372934034,885.216472641987,TRANSFER,0
143.7963913487816,2176.981616998757,142.6001241932412,CASH_OUT,0
295.6839252925421,4765.600571970689,4546.520732030247,TRANSFER,0
369.53003407722326,3596.2260028791593,41.115656944457626,CASH_OUT,0
458.78963429595075,4650.82601431275,3680.4107216854272,TRANSFER,0
786.2500815860485,2637.9398663608285,760.7394345975827,CASH_OUT,0
203.67541324756795,1294.521373965698,4561.148109998,TRANSFER,0
516.6632662215436,264.13343182360995,4463.979697949429,CASH_OUT,0
594.4524960177323,3630.4242574192526,3269.505731846287,CASH_OUT,0
51.218160656397735,606.5149900276706,3361.170749003026,PAYMENT,0
609.5071276419312,1513.875641359836,26.695709848442718,TRANSFER,0
174.67150306885506,2662.354539419487,4924.35783056801,CASH_OUT,0
69.72633502035312,2822.0829388987386,4389.163017879072,TRANSFER,0
949.1411095670666,3002.91598493568,4475.53112865046,CASH_OUT,0
965.8038729091866,831.2766517485031,3296.2226852543595,PAYMENT,0
809.3553613758788,1898.6870241082438,1723.9346432726827,PAYMENT,0
308.09070032750384,3085.9711355848335,4468.243245452404,PAYMENT,0
102.18375343635195,4849.094323168923,1457.5846407559618,PAYMENT,0
685.8118613795962,3638.1556884984434,2813.557716711014,CASH_OUT,0
442.9517312709033,4613.018785469789,498.654861719412,TRANSFER,0
126.42804367055493,3811.060291570885,4609.778150663751,PAYMENT,0
497.70102556071384,2958.5848444620024,703.8522888560667,PAYMENT,0
39.216578509642304,960.1168456817227,1124.4840286520364,PAYMENT,0
909.7738000683881,3333.428259462565,2790.6707906410747,TRANSFER,0
262.48608169201685,3116.8978297995354,3820.465001064908,CASH_OUT,0
664.209672932212,3012.345852286332,3096.7565296814946,CASH_OUT,0
315.1525207089639,2448.9293399412036,1160.6695640007808,CASH_OUT,0
